ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Original_Orthography,Translation_Other,Number,Example_Type,Source,Form_IDs
yaqui-495,yaqui,Joan librom Mariatau Peota toiriak.,Joan\tlibrom\tMaria-ta-u\tPeo-ta\ttoi-ria-k,Juan\tbook.pl\tMaria-acc-dir\tPedro-acc\tcarry-appl-pfv,Juan carried the books to Maria (in behalf of) Pedro.,,,,Juan le llevó los libros a María en lugar de (llevarlos) Pedro.,495,Constructed by native speaker linguist,,yaqui-carry-1
yaqui-494,yaqui,Joan liprom Peota bibliotekau toiriak.,Joan\tliprom\tPeo-ta\tbiblioteka-u\ttoi-ria-k,Juan\tbook.pl\tPedro-acc\tlibrary-dir\tcarry-appl-pfv,Juan carried Pedro the books to the library.,,,,,494,Constructed by native speaker linguist,,yaqui-carry-1
yaqui-493,yaqui,Joan jita yee teu bittua.,Joan\tjita\tyee-te-u\tbittua,Juan\tsomething\tpeople-acc-dir\tsend,Juan sends something to someone.,,"<SPAN STYLE= ""font-style:italic;"" >Juan jita itou bittua</SPAN><SPAN STYLE= """" >, 'Juan sends us something'.</SPAN>",,,493,Constructed by native speaker linguist,,yaqui-send-1
yaqui-492,yaqui,U jiostei aman bittuari.,u\tjiostei\taman\tbittua-ri,det\tletter\tthere\tsend-res,The letter has been sent. / The sent letter.,,,,,492,Constructed by native speaker linguist,,yaqui-send-1
yaqui-491,yaqui,U jiostei aman bittuawak.,u\tjiostei\taman\tbittua-wa-k,det\tletter\tthere\tsend-pass-pfv,The letter was sent there.,,,,,491,Constructed by native speaker linguist,,yaqui-send-1
yaqui-490,yaqui,Sewam a naa bittuatu.,sewa-m\taa\tnaa\tbittua-tu,flower-pl\tcan\teverywhere\tsend-inch,Flowers can be sent.,,,,,490,Constructed by native speaker linguist,,yaqui-send-1
yaqui-489,yaqui,Joan Peota jiosiam Potammeu bittuariak.,Joan\tPeo-ta\tjiosia-m\tPotam-me-u\tbittua-ria-k,Juan\tPedro-acc\tdocument-pl\tPotam-nmlz-dir\tsend-appl-pfv,Juan sent Pedro's documents to Potam.,,,,,489,Constructed by native speaker linguist,,yaqui-send-1
yaqui-488,yaqui,Lominkopo tajo'o yee makbawa.,lominko-po\ttajo'o\tyee\tmak-ba-wa,sunday-loc\tclothes\tpeople\tgive-des-pass,The clothes will be given to the people on Sunday.,,,,,488,Elicited from speaker,,yaqui-give-1
yaqui-487,yaqui,Aapo tajo'orita makwak.,aapo\ttajo'ori-ta\tmak-wa-k,3sg.subj\tclothes-acc\tgive-pass-pfv,He was given a clothes.,,,,,487,Constructed by native speaker linguist,,yaqui-give-1
yaqui-486,yaqui,Sewam aa maktu.,sewa-m\taa\tmak-tu,flower-pl\tcan\tgive-inch,Flowers can be given.,,"<SPAN STYLE= ""font-style:italic;"" >Maria sewam aa maktu</SPAN><SPAN STYLE= """" >, 'As for Maria, they/you can give her flowers'.</SPAN>",,,486,Constructed by native speaker linguist,,yaqui-give-1
yaqui-485,yaqui,Nee liprom ili uusita makria.,nee\tliprom\tili\tuusi-ta\tmak-ria,1sg.obj\tbook\tlittle\tchild-acc\tgive-appl,Give the boy the books on my behalf.,,,,,485,Constructed by native speaker linguist,,yaqui-give-1
yaqui-484,yaqui,Joan jita yee bittuak.,Joan\tjita\tyee\tbittua-k,Juan\tsomething\tpeople\tshow-pfv,Juan showed something.,,"<SPAN STYLE= """" >It is also possible to say: </SPAN><SPAN STYLE= ""font-style:italic;"" >Juan ume monom yee bittuak</SPAN><SPAN STYLE= """" >, 'Juan showed some images'.</SPAN>",,,484,Elicited from speaker,,yaqui-show-1
yaqui-483,yaqui,Ume jiosiam em bittuarim.,ume\tjiosiam\tem\tbittua-ri,det\tbook\t2sg.poss\tshow-res,The book that was shown to you.,,,,El libro que te fue mostrado.,483,Constructed by native speaker linguist,,yaqui-show-1
yaqui-482,yaqui,Empo jiosiam bittuawak.,empo\tjiosiam\tbittua-wa-k,2sg.subj\tbook\tshow-pass-pfv,Your were shown the book.,,,,A ti te fue mostrado el libro.,482,Constructed by native speaker linguist,,yaqui-show-1
yaqui-481,yaqui,U yoeme ili uusita librompo monom bittuak.,u\tyoeme\tili\tuusi-ta\tlibrom-po\tmono-m\tbittua-k,det\tman\tlittle\tchild-acc\tbook-loc\timage-pl\tshow-pfv,The man showed the child the images from the book.,,,,,481,Constructed by native speaker linguist,,yaqui-show-1
yaqui-480,yaqui,U yoeme ili uusita jiosiam jamutta bittuak.,u\tyoeme\tili\tuusi-ta\tjiosiam\tjamut-ta\tbittua-k,det\tman\tlittle\tchild-acc\tbook.acc\twoman-acc\tshow-pfv,The man showed the woman the child's book.,,"<SPAN STYLE= """" >It is not possible to use the applicative </SPAN><SPAN STYLE= ""font-style:italic;"" >-ria </SPAN><SPAN STYLE= """" >unless the verbal root </SPAN><SPAN STYLE= ""font-style:italic;"" >bit-ria </SPAN><SPAN STYLE= """" >is used.</SPAN>",,,480,Elicited from speaker,,yaqui-show-1
yaqui-479,yaqui,U yoeme ili uusita jiosiam bittuak.,u\tyoeme\tili\tuusi-ta\tjiosiam\tbittua-k,det\tman\tlittle\tchild-acc\tbook.acc\tshow-pfv,The man showed a book to the child.,,,,,479,Elicited from speaker,,yaqui-show-1
yaqui-478,yaqui,Maria yee esso.,Maria\tyee\tesso,Maria\tpeople\thide.trns,Maria is hiding (someone).,,,,,478,Elicited from speaker,,yaqui-hide-1
yaqui-477,yaqui,Ne tomi essorita te'ak.,ne\ttomi\tesso-ri-ta\tte'a-k,1sg.subj\tmoney\thide.trns-res-acc\tfind-pfv,I found the hidden money.,,,,,477,Constructed by native speaker linguist,,yaqui-hide-1
yaqui-476,yaqui,Ne tomi essowakamta te'ak.,ne\ttomi\tesso-wa-kam-ta\tte'a-k,1sg.subj\tmoney\thide.trns-pass-nmlz-acc\tfind-pfv,I found the money that was hidden.,,,,,476,Constructed by native speaker linguist,,yaqui-hide-1
yaqui-475,yaqui,Reepam aa essotu.,reepa-m\taa\tesso-tu,ear_ring-pl\tcan\thide.trns-inch,Earrings can be hidden.,,,,Los aretes se pueden esconder.,475,Constructed by native speaker linguist,,yaqui-hide-1
yaqui-474,yaqui,Maria Joantau eusek.,Maria\tJoan-ta-u\teuse-k,Maria\tJuan-acc-dir\thide.intr-pfv,Maria hid (herself) at Juan's (place/house).,,,,,474,Constructed by native speaker linguist,,yaqui-hide-1
yaqui-473,yaqui,Maria librom Joantau essok.,Maria\tlibrom\tJoan-ta-u\tesso-k,Maria\tbook\tJuan-acc-dir\thide.trns-pfv,Maria hid the book at Juan's (place).,,,,María escondió el libro donde está Juan.,473,Constructed by native speaker linguist,,yaqui-hide-1
yaqui-472,yaqui,Joan jita besuma.,Joan\tjita\tbesuma,Juan\tsomething\tpeel,Juan is peeling (something).,,,,,472,Elicited from speaker,,yaqui-peel-1
yaqui-471,yaqui,Uka na'aso besumarita ne bwa'aka.,uka\tna'aso\tbesuma-ri-ta\tne\tbwa'a-ka,det.acc\torange\tpeel-res-acc\t1sg.subj\teat-pfv,I ate the peeled orange.,,,,,471,Constructed by native speaker linguist,,yaqui-peel-1
yaqui-470,yaqui,Na'aso besumawak.,na'aso\tbesuma-wa-k,orange\tpeel-pass-pfv,The orange was peeled.,,,,,470,Elicited from speaker,,yaqui-peel-1
yaqui-469,yaqui,Empo beabesuma.,empo\tbea-besuma,2sg.subj\thusk-peel,You're peeling.,,,,,469,Constructed by linguist,,yaqui-peel-1
yaqui-468,yaqui,Na'aso aa besumatu.,na'aso\taa\tbesuma-tu,orange\tcan\tpeel-inch,The orange can be peeled.,,,,,468,Elicited from speaker,,yaqui-peel-1
yaqui-467,yaqui,Na'asota ne enchi besumatuak.,na'aso-ta\tne\tenchi\tbesuma-tua-k,orange-acc\t1sg.subj\t2sg.obj\tpeel-caus-pfv,I made you peel the orange for me.,,,,,467,Elicited from speaker,,yaqui-peel-1
yaqui-466,yaqui,Na'asota ne besumaria.,na'aso-ta\tnee\tbesuma-ria,orange-acc\t1sg.obj\tpeel-appl,Peel the orange for me.,,,,,466,Constructed by native speaker linguist,,yaqui-peel-1
yaqui-465,yaqui,Ne jiosiam siutari beetak.,ne\tjiosiam\tsiuta-ri\tbeeta-k,1sg.subj\tbook.acc\ttear.trns-res\tburn.trns-pfv,I burned the torn pages of the book.,,,,Quemé las páginas trozadas del libro.,465,Elicited from speaker,,yaqui-tear-1
yaqui-464,yaqui,Ume supem siutawak.,ume\tsupem\tsiuta-wa-k,det.pl\tblouse\ttear.trns-pass-pfv,The blouse was torn.,,,,,464,Elicited from speaker,,yaqui-tear-1
yaqui-463,yaqui,Nee supesiute.,nee\tsupe-siute,1sg.obj\tblouse-tear.intr,My clothes are tearing.,,,,,463,Constructed by native speaker linguist,,yaqui-tear-1
yaqui-462,yaqui,Supem aa siutatu.,supem\taa\tsiuta-tu,blouse\tcan\ttear.trns-inch,The blouse can be torn.,,,,,462,Elicited from speaker,,yaqui-tear-1
yaqui-461,yaqui,Maria supempo siutek.,Maria\tsupem-po\tsiute-k,Maria\tblouse-loc\ttear.intr-pfv,Maria's blouse tore.,,,,,461,Constructed by native speaker linguist,,yaqui-tear-1
yaqui-460,yaqui,Ne jiosiam wepul jiosiata siutariak.,ne\tjiosiam\twepul\tjiosia-ta\tsiuta-ria-k,1sg.subj\tbook\tone\tpage-gen\ttear.trns-appl-pfv,I tore one page from the book. / I tore one page off of the book.,,,,,460,Elicited from speaker,,yaqui-tear-1
yaqui-459,yaqui,U tomi nu'uri.,u\ttomi\tnu'u-ri,det\tmoney\ttake-res,The taken money. / The money (has been) taken.,,,,,459,Elicited from speaker,,yaqui-take-1
yaqui-458,yaqui,U tomi nu'uwak.,u\ttomi\tnu'u-wa-k,det\tmoney\ttake-pass-pfv,The money was taken.,,,,,458,Elicited from speaker,,yaqui-take-1
yaqui-457,yaqui,U tomi aa nu'utu.,u\ttomi\taa\tnu'u-tu,det\tmoney\tcan\ttake-inch,The money can be taken. / The money can be grabbed/stolen.,,,,,457,Elicited from speaker,,yaqui-take-1
yaqui-456,yaqui,Joan Mariatau tomita nu'uka.,Joan\tMaria-ta-u\ttomi-ta\tnu'u-ka,Juan\tMaria-acc-dir\tmoney-acc\ttake-pfv,Juan went to Maria('s place) (to ask) for money \ lit. Juan took money from Maria (i.e. Maria's place).,,,,,456,Elicited from speaker,,yaqui-take-1
yaqui-455,yaqui,Joan Mariatat tomita nu'uka.,Joan\tMaria-ta-t\ttomi-ta\tnu'u-ka,Juan\tMaria-acc-loc\tmoney-acc\ttake-pfv,Juan took Maria's money. / Juan took the money (that was) on Maria.,,,,,455,Constructed by native speaker linguist,,yaqui-take-1
yaqui-454,yaqui,U jamut Mariata ili uusita nu'utuak.,u\tjamut\tMaria-ta\tili\tuusi-ta\tnu'u-tua-k,det\twoman\tMaria-acc\tlittle\tchild-acc\ttake-caus-pfv,The woman made Maria carry the child. / The woman made Maria take the child (in her arms).,,,,,454,Constructed by native speaker linguist,,yaqui-take-1
yaqui-453,yaqui,Empo Mariata tomita nu'uriak.,empo\tMaria-ta\ttomi-ta\tnu'u-ria-k,2sg.subj\tMaria-acc\tmoney-acc\ttake-appl-pfv,You took money from Maria.,,,,,453,Constructed by native speaker linguist,,yaqui-take-1
yaqui-452,yaqui,Ume ba'am chuktai.,ume\tba'am\tchukta-i,det.pl\twater\tcut.trns-res,Water is cut off.,,,,,452,Constructed by native speaker linguist,,yaqui-cut-1
yaqui-451,yaqui,U wi'i chuktawa.,ume\tba'am\tchukta-wa,det.pl\twater\tcut.trns-pass,Water was cut off.,,,,,451,Constructed by native speaker linguist,,yaqui-cut-1
yaqui-450,yaqui,U wi'i aa chuktatu.,u\twi'i\taa\tchukta-tu,det\tcable\tcan\tcut.trns-inch,The cable can be cut.,,,,,450,Constructed by native speaker linguist,,yaqui-cut-1
yaqui-449,yaqui,Kuchi'im met chuktek.,kuchi'im\tme-t\tchukte-k,knife\t?-loc\tcut.intr-pfv,He cut himself with the knife.,,,,,449,Constructed by native speaker linguist,,yaqui-cut-1
yaqui-448,yaqui,U wikia chuktek.,u\twikia\tchukte-k,det\trope\tcut.intr-pfv,The rope is cut.,,,,,448,Constructed by native speaker linguist,,yaqui-cut-1
yaqui-447,yaqui,Nim sailata paanim ne chuktariak.,nim\tsaila-ta\tpaanim\tne\tchukta-ria-k,1sg.pos\tbrother-gen\tbread\t1sg.subj\tcut.trns-appl-pfv,I cut my brother's bread.,,,,,447,Elicited from speaker,,yaqui-cut-1
yaqui-446,yaqui,Nim sailata ne choonim chuktariak.,nim\tsaila-ta\tne\tchoonim\tchukta-ria-k,1sg.pos\tbrother-acc\t1sg.subj\thair\tcut.trns-appl-pfv,I cut my brother the hair.,,,,,446,Constructed by native speaker linguist,,yaqui-cut-1
yaqui-445,yaqui,Bempo'im mamawam bwibwijri.,bempo'im\tmama-wa-m\tbwi-bwij-ri,3pl.poss\thand-poss-pl\trdp:iter-touch-res,Their hands are touched.,,,,,445,Constructed by native speaker linguist,,yaqui-touch-1
yaqui-444,yaqui,Bempo'im mamam bwibwijwa.,bempo'im\tmama-m\tbwi-bwij-wa,3pl.poss\thand-pl\trdp:iter-touch-pass,Their hands were touched.,,,,,444,Elicited from speaker,,yaqui-touch-1
yaqui-443,yaqui,Joan am mambwibwise.,Joan\tam\tmam-bwi-bwise,Juan\t3pl.obj\thand-rdp:iter-touch,Juan is touching them the hands. / Juan is holding their hands.,,,,,443,Elicited from speaker,,yaqui-touch-1
yaqui-442,yaqui,Nee ko'arim bwijria!,nee\tko'arim\tbwij-ria,1sg.obj\tskirt\ttouch-appl,Lift my skirt (lit. Lift me the skirt!)!,,"<SPAN STYLE= """" >Because my skirt is falling down. The possessor of the skirt is not expressed.</SPAN>",,,442,Elicited from speaker,,yaqui-touch-1
yaqui-441,yaqui,Joan yee tastasta.,Joan\tyee\ttas-tasta,Juan\tpeople\trdp:hab-beat.trns,Juan hits people.,,,,Juan choca con la gente.,441,Elicited from speaker,,yaqui-beat-1
yaqui-440,yaqui,U mesa tastai.,u\tmesa\ttasta-i,det\ttable\tbeat.trns-res,The table is beaten.,,"<SPAN STYLE= ""font-style:italic;"" >-i </SPAN><SPAN STYLE= """" >is a phonological variant of </SPAN><SPAN STYLE= ""font-style:italic;"" >-ri</SPAN><SPAN STYLE= """" >.</SPAN>",,,440,Elicited from speaker,,yaqui-beat-1
yaqui-439,yaqui,U mesa tastawak.,u\tmesa\ttasta-wa-k,det\ttable\tbeat.trns-pass-pfv,The table was beaten.,,,,,439,Elicited from speaker,,yaqui-beat-1
yaqui-438,yaqui,Joan mesatau tastek.,Joan\tmesa-ta-u\ttaste-k,Juan\ttable-acc-dir\tbeat.intr-pfv,Juan slammed the door.,,,,Juan se golpeó con la puerta.,438,Elicited from speaker,,yaqui-beat-1
yaqui-437,yaqui,U jamut yoemta karota tastatua.,u\tjamut\tyoem-ta\tkaro-ta\ttasta-tua,det\twoman\tman-acc\tcar-acc\tbeat.trns-caus,The woman made the man crash the car.,,,,,437,Elicited from speaker,,yaqui-beat-1
yaqui-436,yaqui,U yoeme jamutta karota tastaria.,u\tyoeme\tjamut-ta\tkaro-ta\ttasta-ria,det\tman\twoman-acc\tcar-acc\tbeat.trns-appl,The man is moving the car for the woman.,,,,,436,Elicited from speaker,,yaqui-beat-1
yaqui-435,yaqui,U yoeme jamutta puetau mesata tastaria.,u\tyoeme\tjamut-ta\tpueta-u\tmesa-ta\ttasta-ria,det\tman\twoman-acc\tdoor-dir\ttable-acc\tbeat.trns-appl,The man beats the table of the woman against the door.,,,,,435,Constructed by native speaker linguist,,yaqui-beat-1
yaqui-434,yaqui,Inepo yee beeba.,inepo\tyee\tbeeba,1sg.subj\tpeople\thit,I hit people.,,,,,434,Elicited from speaker,,yaqui-hit-1
yaqui-433,yaqui,U chu'u bebritukan.,u\tchu'u\tbeb-ri-tu-kan,det\tdog\thit-res-inch-ipfv,The dog had been hit.,,,,,433,Constructed by native speaker linguist,,yaqui-hit-1
yaqui-432,yaqui,U chu'u bebwa.,u\tchu'u\tbeb-wa,det\tdog\thit-pass,The dog was hit.,,,,,432,Elicited from speaker,,yaqui-hit-1
yaqui-431,yaqui,Ne puetata mambebak.,nee\tpueta-ta\tmam-beba-k,1sg.subj\tdoor-acc\thand-hit-pfv,I hit my/the hand with the door.,,,,,431,Elicited from speaker,,yaqui-hit-1
yaqui-430,yaqui,Chu'u aa bebtu.,chu'u\taa\tbeb-tu,dog\tcan\thit-inch,The dog can be hit.,,,,,430,Elicited from speaker,,yaqui-hit-1
yaqui-429,yaqui,U yoeme chu'uta ili uusitau bebak.,u\tyoeme\tchu'u-ta\tili\tuusi-ta-u\tbeba-k,det\tman\tdog-acc\tlittle\tchild-acc-dir\thit-pfv,The man sent the dog to bite the child.,,,,El hombre mandó al perro para que mordiera al niño.,429,Elicited from speaker,,yaqui-hit-1
yaqui-428,yaqui,U yoeme ili uusita chu'u bebriak.,u\tyoeme\tili\tuusi-ta\tchu'u\tbeb-ria-k,det\tman\tlittle\tchild-acc\tdog\thit-appl-pfv,The man hit the dog of the child.,,"<SPAN STYLE= """" >An equivalent expression does not use the applicative morpheme: </SPAN><SPAN STYLE= ""font-style:italic;"" >U yoeme ili uusita chu'u bebak</SPAN><SPAN STYLE= """" >.</SPAN>",,,428,Elicited from speaker,,yaqui-hit-1
yaqui-427,yaqui,U yoeme ili uusita chu'uta bebriak.,u\tyoeme\tili\tuusi-ta\tchu'u-ta\tbeb-ria-k,det\tman\tlittle\tchild-acc\tdog-acc\thit-appl-pfv,The man hit the dog for the child.,,"<SPAN STYLE= ""font-style:italic;"" >kom beb-ria-k</SPAN><SPAN STYLE= """" > (down hit-app-pfvl) means 'to frighten'.</SPAN>",,,427,Elicited from speaker,,yaqui-hit-1
yaqui-426,yaqui,Joan yee me'a.,Joan\tyee\tme'a,Juan\tpeople\tkill,Juan kills (people).,,,,,426,Elicited from speaker,,yaqui-kill-1
yaqui-425,yaqui,U taabu me'eri.,u\ttaabu\tme'e-ri,det\trabbit\tkill-res,The rabbit is dead. / The rabbit was killed.,,,,,425,Elicited from speaker,,yaqui-kill-1
yaqui-424,yaqui,U taabu me'ewa.,u\ttaabu\tme'e-wa,det\trabbit\tkill-pass,The rabbit is being killed.,,,,,424,Elicited from speaker,,yaqui-kill-1
yaqui-423,yaqui,U wakas aa me'etu.,u\twakas\taa\tme'e-tu,det\tcow\tcan\tkill-inch,The cow can be killed.,,,,,423,Elicited from speaker,,yaqui-kill-1
yaqui-422,yaqui,Joan wakasta ne me'etuak.,Joan\twakas-ta\tnee\tme'e-tua-k,Juan\tcow-acc\t1sg.obj\tkill-caus-pfv,Juan made me kill the cow.,,,,,422,Elicited from speaker,,yaqui-kill-1
yaqui-421,yaqui,Joan wakasta ne me'eriak.,Joan\twakas-ta\tnee\tme'e-ria-k,Juan\tcow-acc\t1sg.obj\tkill-appl-pfv,Juan killed a cow for me.,,,,,421,Elicited from speaker,,yaqui-kill-1
yaqui-420,yaqui,Joan jita jamtak.,Joan\tjita\tjamta-k,Juan\tsomething\tbreak.trns-pfv,Juan broke something.,,,,Juan hizo algo.,420,Elicited from speaker,,yaqui-break-1
yaqui-419,yaqui,U baaso jamtari.,u\tbaaso\tjamta-ri,det\tglass\tbreak.trns-res,The glass is broken.,,,,,419,Elicited from speaker,,yaqui-break-1
yaqui-418,yaqui,U kari bentana jamtawak.,u\tkari\tbentana\tjamta-wa-k,det\thouse\twindow\tbreak.trns-pass-pfv,The window of the house got broken.,,,,,418,Elicited from speaker,,yaqui-break-1
yaqui-417,yaqui,U kari bentana jamtek.,u\tkari\tbentana\tjamte-k,det\thouse\twindow\tbreak.intr-pfv,The window of the house broke.,,,,,417,Elicited from speaker,,yaqui-break-1
yaqui-416,yaqui,Melquiades lentem Jesusta jamtariak.,Melquiades\tlentem\tJesus-ta\tjamta-ria-k,Melquiades\teyeglasses\tJesus-gen\tbreak.trns-appl-pfv,Melquiades broke the eyeglasses of Jesus.,,,,,416,Elicited from speaker,,yaqui-break-1
yaqui-415,yaqui,Joan karita bentanata jamtariak.,Joan\tkari-ta\tbentana-ta\tjamta-ria-k,Juan\thouse-acc\twindow-acc\tbreak.trns-appl-pfv,Juan broke the window of the house.,,,,,415,Elicited from speaker,,yaqui-break-1
yaqui-414,yaqui,Joan yee yaa.,Joan\tyee\tyaa,Juan\tpeople\tmake,Juan is taking pictures.,,"<SPAN STYLE= """" >'to take pictures' is the only meaning that </SPAN><SPAN STYLE= ""font-style:italic;"" >yaa</SPAN><SPAN STYLE= """" > 'make' expresses when </SPAN><SPAN STYLE= ""font-style:italic;"" >yee</SPAN><SPAN STYLE= """" > 'people' accompanies it.</SPAN>",,,414,Elicited from speaker,,yaqui-build-1
yaqui-413,yaqui,U kari yaawa.,u\tkari\tyaa-wa,det\thouse\tmake-pass,The house is being made.,,,,,413,Elicited from speaker,,yaqui-build-1
yaqui-412,yaqui,Wakas aa yaatu.,wakas\taa\tyaa-tu,meat\tcan\tmake-inch,Meat can be made. / Meat can be prepared/cooked.,,,,,412,Elicited from speaker,,yaqui-build-1
yaqui-411,yaqui,Joan yee tetewa.,Joan\tyee\tte-tewa,Juan\tpeople\trdp:hab-name,Juan names the people.,,"<SPAN STYLE= """" >Usually Juan uses nicknames for naming the people.</SPAN>",,,411,Elicited from speaker,,yaqui-be-named-1
yaqui-410,yaqui,Joan Pepepo nee tetewa.,Joan\tPepe-po\tnee\tte-tewa,Juan\tPepe-loc\t1sg.obj\trdp:hab-name,Juan calls me Pepe.,,"<SPAN STYLE= ""font-style:italic;"" >Pepe</SPAN><SPAN STYLE= """" > is a nickname used with people whose name is Jos&eacute;.</SPAN>",,,410,Elicited from speaker,,yaqui-be-named-1
yaqui-409,yaqui,U yoeme jamutta ili uusim teuwaria.,u\tyoeme\tjamut-ta\tili\tuusi-m\tteuwa-ria,det\tman\twoman-acc\tlittle\tchild-pl\tname-appl,The man called the children of the woman.,,,,,409,Constructed by native speaker linguist,,yaqui-be-named-1
yaqui-408,yaqui,Joan eteoripo jita etejok.,Joan\teteori-po\tjita\tetejo-k,Juan\tstory-loc\tsomething\ttalk-pfv,Juan talked about the story.,,,,,408,Elicited from speaker,,yaqui-tell-2
yaqui-407,yaqui,Joan eteoritat jita etejok.,Joan\teteori-ta-t\tjita\tetejo-k,Juan\tstory-acc-loc\tsomething\ttalk-pfv,Juan talked about a (specific part of the) story.,,,,,407,Elicited from speaker,,yaqui-tell-2
yaqui-406,yaqui,U eteori jaibu eteuri.,u\teteori\tjaibu\teteu-ri,det\tstory\talready\ttalk-res,The story is already told.,,,,,406,Elicited from speaker,,yaqui-tell-2
yaqui-405,yaqui,U eteori jaibu eteuwak.,u\teteori\tjaibu\teteu-wa-k,det\tstory\talready\ttalk-pass-pfv,The story has already been told.,,,,,405,Elicited from speaker,,yaqui-tell-2
yaqui-404,yaqui,Inepo enchi Mariata eteutuak.,inepo\tenchi\tMaria-ta\teteu-tua-k,1sg.subj\t2sg.obj\tMaria-acc\ttalk-caus-pfv,I made you talk to Maria.,,,,,404,Elicited from speaker,,yaqui-talk-1
yaqui-403,yaqui,Joan yee tea.,Joan\tyee\ttea,Juan\tpeople\tmeet,Juan is meeting people.,,,,,403,Elicited from speaker,,yaqui-meet-1
yaqui-402,yaqui,U baakot jajjawa.,u\tbaakot\tja-jja-wa,det\tsnake\trdp:hab-follow-pass,The snake is being followed. / The snake is being haunted.,,,,,402,Elicited from speaker,,yaqui-follow-1
yaqui-401,yaqui,U jamut yoemta uusi jajariak.,u\tjamut\tyoem-ta\tuusi\tjaja-ria-k,det\twoman\tman-gen\tchild\tfollow-appl-pfv,The woman followed the child of the man.,,"<SPAN STYLE= """" >Here the applicative introduces a possessor instead of a beneficiary.</SPAN>",,,401,Elicited from speaker,,yaqui-follow-1
yaqui-400,yaqui,U yoeme uka jamutta ili uusita jajariak.,u\tyoeme\tuka\tjamut-ta\tili\tuusi-ta\tjaja-ria-k,det\tman\tdet.acc\twoman-acc\tlittle\tchild-acc\tfollow-appl-pfv,The man followed the woman for the child.,,"<SPAN STYLE= """" >Typical situation: the child asked the man to follow the woman.</SPAN>",,,400,Elicited from speaker,,yaqui-follow-1
yaqui-399,yaqui,Ume jamuchim aniawak.,ume\tjamuch-im\tania-wa-k,det.pl\twoman-pl\thelp-pass-pfv,The women were helped.,,,,,399,Elicited from speaker,,yaqui-help-1
yaqui-398,yaqui,Maria jamutta o'outa aniaria.,Maria\tjamut-ta\to'ou-ta\tania-ria,Maria\twoman-acc\tmale-acc\thelp-appl,Maria is helping the woman for the man.,,,,,398,Elicited from speaker,,yaqui-help-1
yaqui-397,yaqui,Ume macham jaibu bektari.,ume\tmacham\tjaibu\tbekta-ri,det.pl\tlegs\talready\tshave-res,The legs are already shaved.,,,,,397,Elicited from speaker,,yaqui-shave-self-1
yaqui-396,yaqui,Ume bo'am jaibu bektari.,ume\tbo'am\tjaibu\tbekta-ri,det.pl\thair\talready\tshave-res,The hair is already shaved.,,,,,396,Elicited from speaker,,yaqui-shave-self-1
yaqui-395,yaqui,Ume bo'am bektawa.,ume\tbo'am\tbekta-wa,det.pl\thair\tshave-pass,The hair is being shaved.,,,,,395,Elicited from speaker,,yaqui-shave-self-1
yaqui-394,yaqui,Bo'am kaa tu'isi bektatu.,bo'am\tkaa\ttu'isi\tbekta-tu,hair\tneg\twell\tshave-inch,Hair does not shave well.,,,,,394,Elicited from speaker,,yaqui-shave-self-1
yaqui-393,yaqui,Kobapo ne ino bektak.,koba-po\tne\tino\tbekta-k,head-loc\t1sg.subj\t1sg.refl\tshave-pfv,I shaved on my head. / I shaved my own head.,,,,,393,Elicited from speaker,,yaqui-shave-self-1
yaqui-392,yaqui,Joan kobat au bektak.,Joan\tkoba-t\tau\tbekta-k,Juan\thead-loc\trefl\tshave-pfv,Juan shaved his head.,,,,,392,Elicited from speaker,,yaqui-shave-self-1
yaqui-391,yaqui,U jamut o'outa bektak.,u\tjamut\to'ou-ta\tbekta-k,det\twoman\tmale-acc\tshave-pfv,The woman shaved the man.,,,,,391,Elicited from speaker,,yaqui-shave-self-1
yaqui-390,yaqui,U jamut o'outa kobata bektatuak.,u\tjamut\to'ou-ta\tkoba-ta\tbekta-tua-k,det\twoman\tmale-acc\thead-acc\tshave-caus-pfv,The woman made the man shave his head.,,"<SPAN STYLE= """" >The possessor is not expressed.</SPAN>",,,390,Elicited from speaker,,yaqui-shave-self-1
yaqui-389,yaqui,Maria yee a'ana.,Maria\tyee\ta'ana,Maria\tpeople\tdress,Maria dresses the people. / Maria is a dressmaker. / Maria sews.,,,,,389,Elicited from speaker,,yaqui-dress-1
yaqui-388,yaqui,U ili uusi a'anawak.,u\tili\tuusi\ta'ana-wa-k,det\tlittle\tchild\tdress-pass-pfv,The child was dressed.,,,,,388,Elicited from speaker,,yaqui-dress-1
yaqui-387,yaqui,U tajo'oria tu'isi a'anatu.,u\ttajo'oria\ttu'isi\ta'ana-tu,det\tclothes\twell\tdress-inch,Clothes dress well.,,,,,387,Elicited from speaker,,yaqui-dress-1
yaqui-386,yaqui,U jamut ili uusita o'outa a'anariak.,u\tjamut\tili\tuusi-ta\to'ou-ta\ta'ana-ria-k,det\twoman\tlittle\tchild-acc\tmale-acc\tdress-appl-pfv,The woman dressed the child for the man.,,"<SPAN STYLE= """" >The man asked the woman to dress the child. The man is the beneficiary of the event.</SPAN>",,,386,Elicited from speaker,,yaqui-dress-1
