ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,verb_type,original_script,simplex_or_complex,Basic_Coding_Frame_ID
korean-tell-3,,korean,tell,deullida (2),deullida,,"<SPAN STYLE= """" >This verb is a causative form of LISTEN, and homonymous with its passive form (cf.Yeon 2003:Ch.6 on causative-passive relationships). The range of meanings of this verb varies from 'play somebody some music' via 'show somebody some music' up to 'tell somebody a story', and thus seem to denote something which means generally 'SHOW something through the auditive channel'. It is questionable whether </SPAN><SPAN STYLE= ""font-style:italic;"" >boyeojuda</SPAN><SPAN STYLE= """" > 'SHOW (visually)' can be used for auditive information as well.<BR><BR>Although  the author could find written examples of this verb in its base form (it almost seems like prescipritve hypercorrection to me, cf.ex. 206), it is generally not used in spoken language. What is used, much like </SPAN><SPAN STYLE= ""font-style:italic;"" >boida</SPAN><SPAN STYLE= """" > 'SHOW (visually)', is the benefactive form of this verb, thus </SPAN><SPAN STYLE= ""font-style:italic;"" >deud-li-eo ju-da,</SPAN><SPAN STYLE= """" > listen-CAUS-CONV give-DECL, 'SHOW (auditively)' (cf. 108, 207). As to the valency of this verb, the coding pattern of the (in spoken language probably dated) causative of LISTEN is NOM-DAT-ACC already, which is probably why the benefactive alternation does not add an additional (dative-marked) argument to the verb's valency, but rather the causee seems to be the beneficiary at the same time (which, on the intuitive level, makes sense here). <BR><BR>Not that the benefactive </SPAN><SPAN STYLE= ""font-style:italic;"" >deullyeojuda</SPAN><SPAN STYLE= """" > can have a double accusative case frame as well, just as </SPAN><SPAN STYLE= ""font-style:italic;"" >boyeojuda</SPAN><SPAN STYLE= """" > 'SHOW(visually)'.</SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,들리다,Complex,12732333804
korean-ask-for-1,,korean,ask-for,yoguhada,yoguhada,,"<SPAN STYLE= """" >There are many corresponding expressions depending on the degree of necessity of the thing asked and the social standing of the person and manner of asking, mostly consisting of sino-korean vocabulary such as 'yo', 'gu', or 'cheong', thus: yoguhada, cheongguhada, yocheonghada.<BR>This verb displays a meaning between requesting more forcefully and asking (cf. German </SPAN><SPAN STYLE= ""font-style:italic;"" >fordern</SPAN><SPAN STYLE= """" >).</SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,NV,요구하다,Complex,12732492625
korean-talk-1,,korean,talk,iyagihada,iyagihada,,"<SPAN STYLE= """" >This is a complex predicate that consists of a nominal element </SPAN><SPAN STYLE= ""font-style:italic;"" >iyagi</SPAN><SPAN STYLE= """" > (often shortened to </SPAN><SPAN STYLE= ""font-style:italic;"" >yaegi</SPAN><SPAN STYLE= """" > in colloquial usage) 'story' and </SPAN><SPAN STYLE= ""font-style:italic;"" >hada</SPAN><SPAN STYLE= """" > 'do'. As mentioned for other verbs,</SPAN><SPAN STYLE= ""font-style:italic;"" > iyagi/yaegi</SPAN><SPAN STYLE= """" > may appear with accusative marking and separate from the light verb </SPAN><SPAN STYLE= ""font-style:italic;"" >hada</SPAN><SPAN STYLE= """" >. This verb takes part in a reciprocal alternation, see ex. 77, 78, 255. <BR><BR>This verb can either mean TALK or TELL. Whereas the nominative and the dative arguments appear with both meanings, the postpositional adjunct with the postposition </SPAN><SPAN STYLE= ""font-style:italic;"" >-e daehaeseo</SPAN><SPAN STYLE= """" > 'about' (that governs locative case on its noun) may tend to be used for the meaning of TALK and the reported speech (the y-quot in the coding frame) adjunct for the meaning of TELL, although nothing of this is set in stone and both adjuncts may occur for both meanings. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,NV,이야기하다,Complex,13346623298
korean-know-1,,korean,know,alda,alda,,"<SPAN STYLE= """" >The morphological causative of this verb can mean various things from 'let so. know' up to 'inform sb.'. The morphological causative adds a dative argument to the verb's valency.<BR><BR>Curiously, this verb does not undergo passivisation in its base form, but instead, apprently one has to apply the morphological causative first, and then passivise the verb using the periphrastic passive (see ex. 299). </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,알다,Simplex,12732317407
korean-see-1,,korean,see,boda,boda,,"<SPAN STYLE= """" >The morphological passive form of this verb stresses the perceptive meaning component of SEE, whereas the morphological causative is equivalent to the meaning of SHOW (visually), cf. 197 and verb entry for SHOW for more. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,보다 ,Simplex,12732317407
korean-look-at-1,,korean,look-at,baraboda,baraboda,,"<SPAN STYLE= """" >This verb seems to be diachronically related to </SPAN><SPAN STYLE= ""font-style:italic;"" >boda</SPAN><SPAN STYLE= """" > 'SEE', and its structure suggests that it might have arisen from a complex predicate structure with </SPAN><SPAN STYLE= ""font-style:italic;"" >bar-a boda</SPAN><SPAN STYLE= """" > ?-CONV see, although the meaning of the first verbal element is not clear to me. <BR><BR></SPAN><SPAN STYLE= ""font-style:italic;"" >baraboda</SPAN><SPAN STYLE= """" > implies that one looks at an object with greater attention and for a longer period of time. As opposed to </SPAN><SPAN STYLE= ""font-style:italic;"" >boda</SPAN><SPAN STYLE= """" >, only periphrastic causative seems applicable here, and no other alternation seems to be possible. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,바라보다,Unknown,12732317407
korean-frighten-1,,korean,frighten,nollaeda,nollaeda,,"<SPAN STYLE= """" >As mentioned in ex. 70, this verb form has prescriptively been determined as the causative of an alleged intransitive form, </SPAN><SPAN STYLE= ""font-style:italic;"" >nollada</SPAN><SPAN STYLE= """" >, and South Korean language polity is quite desperately trying to convince people of the incorrectness of this form (see Yi 2010). Whereas the 'correct' intransitive form does not seem to be commonly used in spoken usage, the above form, </SPAN><SPAN STYLE= ""font-style:italic;"" >nollaeda</SPAN><SPAN STYLE= """" > is commonly used as the intransitive form, and </SPAN><SPAN STYLE= ""font-style:italic;"" >nollaekida</SPAN><SPAN STYLE= """" > as the morphological causative. On the one hand, there are numerous on-line sources where one can find the usage of </SPAN><SPAN STYLE= ""font-style:italic;"" >nollaeda </SPAN><SPAN STYLE= """" >as the intransitive and </SPAN><SPAN STYLE= ""font-style:italic;"" >nollaekida</SPAN><SPAN STYLE= """" > as the respective causative form, and since only the prescriptive version is taught to foreigners (and nationals), it is unlikely that the many sources on Google are not very reliable in terms of the authenticity of usage of this verb form (that is, since one could argue that non-native speakers using </SPAN><SPAN STYLE= ""font-style:italic;"" >nollaekida</SPAN><SPAN STYLE= """" > could skew the subjective impression). A rather rare, critical voice has been cited here:<BR></SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';"" ><BR>&lsquo;&#45440;&#47000;&#53412;&#45796;&rsquo;&#45716; &lsquo;&#45440;&#46972;&#45796;&rsquo;&#51032; &#49324;&#46041;&#49324;&#45796;. &#51593; &#45224;&#50640;&#44172; &#54665;&#46041;&#51012; &#54616;&#44172; &#54632;&#51012; &#45208;&#53440;&#45236;&#45716; &#46041;&#49324;&#45796;. &lsquo;(&#45224;&#51012;) &#45440;&#46972;&#44172; &#54616;&#45796;&rsquo;&#45716; &#46907;&#51060;&#45796;. &#44536;&#47088;&#45936; &#44397;&#50612;&#49324;&#51204;&#51008; &lsquo;&#45440;&#47000;&#45796;&#51032; &#48169;&#50616;&rsquo; &#46608;&#45716; &lsquo;&#45440;&#47000;&#45796;&#51032; &#51096;&#47803;&rsquo;&#51060;&#46972;&#44256; &#54620;&#45796;. </SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';font-style:italic;"" >&#54364;&#51456;&#50612;&#44032; &lsquo;&#45440;&#47000;&#45796;&rsquo;&#51060;&#45768; &#44277;&#51201;&#51064; &#44275;&#50640;&#49436;&#45716; &lsquo;&#45440;&#47000;&#45796;&rsquo;&#47484; &#50416;&#46972;&#45716; &#51032;&#48120;&#45796;. &#44536;&#47084;&#45208; &lsquo;&#45440;&#47000;&#45796;&rsquo;&#45716; &#49548;&#53685;&#50640; &#46020;&#50880;&#51012; &#51452;&#51648; &#50506;&#45716;&#45796;. &#45824;&#48512;&#48516; &lsquo;&#45440;&#47000;&#53412;&#45796;&rsquo;&#46972;&#44256; &#54620;&#45796;. &#44536;&#47000;&#50556; &#51032;&#48120;&#44032; &#51096; &#51204;&#45804;&#46108;&#45796;.</SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';"" > / Translation of the part in italics: &quot;[The] Standard Korea [morphological causative for FRIGHTEN] is </SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';font-style:italic;"" >nollaeda </SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';"" >and therefore we are supposed to use this form in offiical contexts. But </SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';font-style:italic;"" >nollaedaI </SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';"" >is not useful in communication. Most of the people say </SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';font-style:italic;"" >nollaekida</SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';"" >. Only this way meaning is conveyed correctly.&quot; [translation SK] [URL: http://www.seoul.co.kr/news/newsView.php?id=20090814029014, accessed 2014-03-04]</SPAN><SPAN STYLE= """" ><BR><BR>On the other hand, there are a lot of sources which try to inform people of the incorrectness of this form, which could be seen as a sign of how widely used the 'incorrect' form is. Therefore I have included the commonly </SPAN><SPAN STYLE= ""font-style:italic;"" >spoken, </SPAN><SPAN STYLE= """" >intransitive verb form in this database, only listing constructed examples with the prescriptive verb forms. Note that the author of this database has not undergone South Korean schooling and has grown up in a Korean community with limited exposure to regulations within South Korean language policy. For insights into precriptivism in South Korean language policy see Park (2010) and Song (2012). Interesting links to prescriptive discussions on this verb:<BR><BR>1. MBC broadcasting: http://talk.imbc.com/tvinfo/view.aspx?idx=31165 [accessed 2014-02-17]<BR>2. Daum Educational Broadcasting Channel (EBS) Q &amp; A: http://k.daum.net/qna/view.html?qid=3MfE3&amp;q=%B3%EE%B7%A1%C5%B0%B1%E2 [accessed 2014-02-17]<BR>3. KBS World's </SPAN><SPAN STYLE= ""font-style:italic;"" >Our Language, Put Correctly:</SPAN><SPAN STYLE= """" > http://rki.kbs.co.kr/korean/program/program_koreanlanguage_detail.htm?No=1296&amp;current_page=53 [accessed 2014-02-17]</SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,놀래다,Simplex,12732698953
korean-fear-1,,korean,fear,museobda,museobda,,"<SPAN STYLE= """" >Sources indicate a DAT-NOM case frame for this kind of experiencer verb (cf. Yeon 2003: 42), although in spoken usage it sounds more than stilted and almost ungrammatical, and it remains to be explored whether native speakers of Korean who have not gone through South Korean schooling know about this DAT-NOM coding pattern. There are verbs such as </SPAN><SPAN STYLE= ""font-style:italic;"" >geuribda</SPAN><SPAN STYLE= """" > 'feel nostalgic about something' where a DAT-NOM case frame could be imaginable, although again, as for FEAR, I would like to remark that a NOM-NOM case pattern seems more common. Still, whether both arguments can actually be overtly marked with NOM is questionable. If one looks at constructions that sound more natural such as ex. 186, one can see that the first argument of the verb is unmarked, whereas the second is marked for NOM. This might be rather due to information-structural properties of Korean case markers, since in ex. 69 one can see that the first argument can actually receive topic marking, and NOM can exhibit properties of focus marking in some contexts. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,무섭다,Simplex,13302558231
korean-like-1,,korean,like,johda,johda,,"<SPAN STYLE= """" >Sources indicate a DAT-NOM case frame for this kind of experiencer verb (cf. Yeon 2003: 55), although in spoken usage it sounds more than stilted and almost ungrammatical. There are verbs such as </SPAN><SPAN STYLE= ""font-style:italic;"" >geuribda</SPAN><SPAN STYLE= """" > 'feel nostalgic about something' where a DAT-NOM case frame could be imaginable, although again, as for FEAR, I would like to remark that a NOM-NOM case pattern seems more common (cf. ex. 64 or 125). Still, whether both arguments can actually be overtly marked with NOM is questionable. If one looks at constructions that sound more natural such as ex. 186, one can see that the first argument of the verb is unmarked, whereas the second is marked for NOM. This might be rather due to information-structural properties of Korean case markers, since in ex. 69, 64, 125 one can see that the first argument can actually receive topic marking, and NOM can exhibit properties of focus marking in some contexts (cf. ex. 130). <BR><BR>Several sources have mentioned contraints in Korean where as a part of a speaker's socio-cultural, meta-linguistic knowledge, a speaker &quot;cannot have direct access to a third person's subjective internal feelings&quot; (Yeon 2003: 66) which is why emotion verbs such as this one can usually only be used with first person singular (see Evans 2010: 74 for a similar account) when used on its own and not in reportative constructions. See the </SPAN><SPAN STYLE= ""font-style:italic;"" >hada-alternation </SPAN><SPAN STYLE= """" >as a means of 'externalisation' (Yeon 2003: 67) of emotions.</SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,좋다,Simplex,13302558231
korean-meet-1,,korean,meet,mannada,mannada,,,13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,만나다,Simplex,12732317407
korean-follow-1,,korean,follow,ttaragada,ttaragada,,"<SPAN STYLE= """" >This is a complex predicate that consists of </SPAN><SPAN STYLE= ""font-style:italic;"" >ttareuda</SPAN><SPAN STYLE= """" > 'follow' and </SPAN><SPAN STYLE= ""font-style:italic;"" >gada</SPAN><SPAN STYLE= """" > 'go'. In spoken usage, </SPAN><SPAN STYLE= ""font-style:italic;"" >ttareuda</SPAN><SPAN STYLE= """" > sounds more likely to be used in a more abstract sense (e.g., in the sense of 'obey, be loyal, follow someone's ideas or orders') which is why the complex predicate has been chosen here. Note that if the direction of motion is towards the speaker, </SPAN><SPAN STYLE= ""font-style:italic;"" >ttaraoda</SPAN><SPAN STYLE= """" > is used. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,VV,따라가다/따라오다,Complex,12732317407
korean-help-1,,korean,help,dowajuda,dowajuda,,"<SPAN STYLE= """" >The form of this verb seen in more literary Korean is </SPAN><SPAN STYLE= ""font-style:italic;"" >dobda, </SPAN><SPAN STYLE= """" >'help', although here, the complex predicate that consists of </SPAN><SPAN STYLE= ""font-style:italic;"" >dobda</SPAN><SPAN STYLE= """" > 'help' and </SPAN><SPAN STYLE= ""font-style:italic;"" >juda 'give', dow-a ju-da</SPAN><SPAN STYLE= """" > help-CONV give-DECL has been chosen since the 'simplex' verb form is rather seldomly used in spoken language. If the beneficiary is higher on the social hierarchy or highly respected for some reason, the honorative form of this verb, </SPAN><SPAN STYLE= ""font-style:italic;"" >dowadeurida</SPAN><SPAN STYLE= """" > is used. </SPAN><SPAN STYLE= ""font-style:italic;"" >dowajuda</SPAN><SPAN STYLE= """" > does not seem to be a benefactive alternation of </SPAN><SPAN STYLE= ""font-style:italic;"" >dobda</SPAN><SPAN STYLE= """" >, since the case frames for both verbs are the same, and no argument has been added from </SPAN><SPAN STYLE= ""font-style:italic;"" >dobda</SPAN><SPAN STYLE= """" > to </SPAN><SPAN STYLE= ""font-style:italic;"" >dowajuda</SPAN><SPAN STYLE= """" >. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,도와주다,Complex,12732317407
korean-eat-1,,korean,eat,meogda,meogda,,"<SPAN STYLE= """" >The meaning of the morphological causative of this verb has further developed into 'feed', and it is questionable whether this causative verb subcategorises for a causee, as opposed to a periphrastic causative verb, cf. ex. 120.<BR><BR>Moreover, the morphological passive form of this verb tends to be used in an abstract context where one tries to verbally convince someone else (ex. 267). </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,먹다 ,Simplex,12732317407
korean-wash-1,,korean,wash,mogyoksikida,mogyoksikida,,"<SPAN STYLE= """" >The literal meaning here is  'to make someone bath' (although it doesn't have to be a bath in a literal sense); only between persons or persons and their pets. This corresponds to </SPAN><SPAN STYLE= ""font-style:italic;"" >mogyokhada</SPAN><SPAN STYLE= """" > 'to bath', although here we do not have the light verb </SPAN><SPAN STYLE= ""font-style:italic;"" >ha-</SPAN><SPAN STYLE= """" > 'do' , but the lexically causative verb </SPAN><SPAN STYLE= ""font-style:italic;"" >siki-</SPAN><SPAN STYLE= """" > 'cause, tell someone to do something'. This forms has not been classified as an alternation, since the variation in light verbs realising different valencies is lexicalised and does not apply regularly across the board. In other words, one cannot regularly replace </SPAN><SPAN STYLE= ""font-style:italic;"" >ha-</SPAN><SPAN STYLE= """" > in all light verb constructions with </SPAN><SPAN STYLE= ""font-style:italic;"" >siki-</SPAN><SPAN STYLE= """" > to receive a causative meaning. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,목욕시키다,Complex,12732317407
korean-wash-2,,korean,wash,ssisda,ssisda,,"<SPAN STYLE= """" >This verb is used mainly for inalienable body parts or food, but not for other belongings like cars, cloths; with (&quot;whole&quot;) persons it may sound odd, maybe it could only be imanigable when a mother washes her toddler or so.<BR><BR>When used without an object, it is often used to be reflexive in meaning (see ex. 258), although the verb itself does not become intransitive, since a body (part) object such as </SPAN><SPAN STYLE= ""font-style:italic;"" >mom-eul</SPAN><SPAN STYLE= """" > body-ACC could still be added.</SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,씻다 ,Simplex,12732168441
korean-wash-3,,korean,wash,sesuhada,sesuhada,,"<SPAN STYLE= """" >Means 'to wash one's face or neck with one's hands'. Neither the word for face or neck nor for hand can be overtly expressed here. The nominal part </SPAN><SPAN STYLE= ""font-style:italic;"" >sesu</SPAN><SPAN STYLE= """" > is Sino-Korean</SPAN><SPAN STYLE= ""font-family: 'Arial Unicode MS';"" > (&#27927;&#25163;) </SPAN><SPAN STYLE= """" >meaning 'wash hands'. The definition in Nave online dictionary (http://krdic.naver.com/detail.nhn?docid=21586100 [accessed 2014-02-17]) includes the meaning of washing one's hands, but it would be weird if one used this to impy that one washed his or her hands only. I guess that hands are just washed because one washes one's face with them.</SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,NV,세수하다 ,Complex,12732698953
korean-wash-4,,korean,wash,ppalda,ppalda,,"<SPAN STYLE= """" >Only used for washing all sorts of textiles. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,빨다,Simplex,12732168441
korean-cough-1,,korean,cough,gichimhada,gichimhada,,"<SPAN STYLE= """" >This verb is one of the many complex predicates in Korean which consist of a noun-like element and </SPAN><SPAN STYLE= ""font-style:italic;"" >hada</SPAN><SPAN STYLE= """" > 'do'. Although in spoken usage </SPAN><SPAN STYLE= ""font-style:italic;"" >gichim</SPAN><SPAN STYLE= """" > seems to occur as a unit with </SPAN><SPAN STYLE= ""font-style:italic;"" >hada</SPAN><SPAN STYLE= """" >, ex. 187 has been constructed here to show that </SPAN><SPAN STYLE= ""font-style:italic;"" >gichim</SPAN><SPAN STYLE= """" > does retain its nominal properties in that it can take on a modifier and be marked for accusative case. However, </SPAN><SPAN STYLE= ""font-style:italic;"" >gichim</SPAN><SPAN STYLE= """" > is different from an object in that it cannot be passivised, and it contributes the main part of the predicational meaning. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,NV,기침하다 ,Complex,12732698953
korean-climb-1,,korean,climb,oreuda,oreuda,,"<SPAN STYLE= """" >There is no direct equivalent that specifically denotes the movement of climbing in Korean, instead, there is this general verb, for example, which denotes all upward movements. This verb is also metaphorically used for 'be placed on a ranking/enter a ranking'.  Much more commonly, in spoken usage this verb is used in a complex predicate together with manner or perspective-specifying verbs, such as </SPAN><SPAN STYLE= ""font-style:italic;"" >gada</SPAN><SPAN STYLE= """" > 'go' (ex. 113) or </SPAN><SPAN STYLE= ""font-style:italic;"" >oda</SPAN><SPAN STYLE= """" > 'come' (ex. 209).<BR><BR>The benefactive alternation may not apply on the intransitive </SPAN><SPAN STYLE= ""font-style:italic;"" >oreuda</SPAN><SPAN STYLE= """" >, although it can be applied on the causative form of this verb. Similar to what has been described for the Korean verbs for SHOW, it indeed sounds more natural to use the benefactive form with the causative form. <BR><BR>The causative form has developed a wide range of meanings alongside the meaning of 'put up in an upward movement',  such as 'to lift sth.', 'increase or 'register, put on the form', and it is used as the humble version of GIVE or SAY or ASK in fixed expressions. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,오르다,Simplex,12733000513
korean-climb-2,,korean,climb,tada (2),tada,,"<SPAN STYLE= """" >This verb is homonymous to </SPAN><SPAN STYLE= ""font-style:italic;"" >tada</SPAN><SPAN STYLE= """" > 'BURN', hence the numbering. The semantics of this verb covers a wide range of motions, which is not comparable to the English 'to climb'. It describes any upward motion that exceeds a given ground level, which is why this verb is used together with entities that have a sharp, vertical delimitation from the  ground, hence vehicles, trees, walls and mountains (but not hills, maybe because they 'typically' are not steep and/or high), and the wind.<BR><BR>This verb is peculiar in a sense that apparently this verb allows for either a NOM-ACC coding frame or a NOM-LOC coding frame, of which the reasons are not clear, although it seems that the motivations can be explained in a similar vein to GO. <BR><BR>As a very tentative impression, compared with a NOM-LOC case frame, a NOM-ACC case frame seems to entail that the agent carries out an action with a specific intention, motivation, or goal in mind. This is not to say that a NOM-ACC coding frame could not entail the same as a NOM-LOC coding frame, but the important difference is maybe that a NOM-LOC does not entail a specific intentionality behind the action of climbing on something, whereas a NOM-ACC coding frame may do so. As you can see, my suggestions are rather vague (and possibly wrong) intimations than analyses and a lot more research remains to be carried out. <BR><BR>Note that the NOM-ACC frame has been given here, since the NOM-LOC seems to apply mainly to vehicles, whereas the NOM-ACC coding frame can be applied to both vehicles and other categories such as trees or mountains.<BR><BR></SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,타다,Simplex,12732317407
korean-sit-down-1,,korean,sit-down,anjda,anjda,,,13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,앉다,Simplex,12733000513
korean-run-1,,korean,run,dallida,dallida,,"<SPAN STYLE= """" >This verb occasionally occurs with accusative-marked arguments (I chose this term for lack of further research, it is actually not sure what the syntactic status of these accusative-marked constituents is), which generally only can be a way argument (ex. 263), including the length value of a way (ex. 252). <BR><BR>As far as my intuition is concerned, such accusative-marked constituents may not become nominative marked ones in periphrastic passive constructions, which puts the object status of the way-constituents into question. <BR><BR>Still, curiously, it seems to be possible to build periphrastic 'passive' constructions here although this verb is intransitive. As a result, an impersonal construction is created where there seems to be no agent expressible. Since I am not sure about the acceptability/frequence of such a form, I have checked the value 'marginally' here. </SPAN>",13026407489;13026583210;13026604831;13036558438;13036716018;13036719665;13042316385;13042889638;13044288377;13044569830;13044626536;13068033313;13069074557;13165654374;13165706690;13165917618;13165960232;13173834171;13173870906;13173917143;13216685895;13218703019;13218874435;13218888805;13218913647;13218964051;13218981914;13222830217;13222856404;13519104307;13519120444,,,,,,달리다 ,Simplex,12732698953
